Plate,Row,Column,Column_Name,CDF_Filename,Tissue,Group,Animal,Time,RNA_loaded
1,F,7,TA1,20220824_20220824-704-mmCNM-D7-GasTA,TA,2,2,7,101.78
1,G,7,TA1,20220824_20220824-704-mmCNM-D7-GasTA,TA,2,3,7,106.1433333
1,H,7,TA1,20220824_20220824-704-mmCNM-D7-GasTA,TA,2,4,7,155.54
1,A,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,5,1,7,111.7666667
1,B,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,5,2,7,152.95
1,C,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,5,3,7,164.4533333
1,D,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,5,4,7,168.8166667
1,E,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,6,1,7,208.11
1,F,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,6,2,7,161.63
1,G,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,6,3,7,132.58
1,H,8,TA2,20220824_20220824-704-mmCNM-D7-GasTA,TA,6,4,7,143.2666667
1,A,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,9,1,7,120.75
1,B,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,9,2,7,111.7433333
1,C,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,9,3,7,185.8266667
1,D,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,9,4,7,120.5633333
1,E,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,10,1,7,175.5133333
1,F,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,10,2,7,196.42
1,G,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,10,3,7,190.1666667
1,H,9,TA3,20220824_20220824-704-mmCNM-D7-GasTA,TA,10,4,7,154.1166667
1,A,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,13,1,7,95.41
1,B,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,13,2,7,132.1133333
1,C,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,13,3,7,136.08
1,D,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,13,4,7,151.5733333
1,E,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,14,1,7,211.0733333
1,F,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,14,2,7,219.17
1,G,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,14,3,7,180.53
1,H,10,TA4,20220824_20220824-704-mmCNM-D7-GasTA,TA,14,4,7,218.8433333
1,A,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,17,1,7,135.17
1,B,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,17,2,7,114.59
1,C,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,17,3,7,144.41
1,D,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,17,4,7,152.2966667
1,E,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
1,F,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
1,G,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
1,H,11,TA5,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
1,A,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,18,1,7,84.39666667
1,B,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,18,2,7,113.89
1,C,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,18,3,7,118.7433333
1,D,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,18,4,7,144.4333333
1,E,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,18,5,7,116.9933333
1,F,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
1,G,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
1,H,12,TA6,20220824_20220824-704-mmCNM-D7-GasTA,TA,0,0,7,0
2,A,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,3,1,25,126.5911111
2,B,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,3,2,25,106.82
2,C,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,3,3,25,70.79333333
2,D,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,3,4,25,96.13333333
2,E,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,4,1,25,88.74444444
2,F,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,4,2,25,104.6733333
2,G,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,4,3,25,135.24
2,H,1,Gas1,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,4,4,25,55.03555556
2,A,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,7,1,25,227.7333333
2,B,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,7,2,25,236.7555556
2,C,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,7,3,25,175.9333333
2,D,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,7,4,25,171.4222222
2,E,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,8,1,25,166.9111111
2,F,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,8,2,25,216.6888889
2,G,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,8,3,25,201.9111111
2,H,2,Gas2,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,8,4,25,204.8666667
2,A,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,11,1,25,205.4888889
2,B,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,11,2,25,141.54
